question	output	answer
What is the location country of Teperberg 1870 ?	Israel	The location country of Teperberg 1870 is Israel.
Give me all magazines whose editors live in Chicago?	Playboy	Playboy is the magazine whose editor lives in Chicago.
What is the county of the road whose route end is Pahang ?	Malaysia	Malaysia is the county of the whose end road is Pahang.
Where was Picasso's Last Words recorded?	Lagos, September–October 1973	Picasso's Last Words was recorded in Lagos, September–October 1973.
List the religion of people in the Cambodian human rights party?	Theravada, Buddhism	The relegions of the people who are in the Cambodian human rights party are Theravada, Buddhism.
Which body governs over the place made by the chumash people?	Boeing	Boeing is the governing body of the place whose architect is Chumash people.
Which companies published Super Mario Adventures?	Nintendo, Shogakukan	The publishers of Super Mario Adventures are Nintendo, Shogakukan.
In which countries can i find some feminist writers?	United States, Cyprus, Uruguayans, Israelis, Basque Country (autonomous community), Ethiopia	In United States, Cyprus, Uruguayans, Israelis, Basque Country (autonomous community), Ethiopia feminist writers can be found.
What is the television show whose theme music is by Primus?	South Park	The television show composed by Primus band is South Park.
Name some leaders of the parent organisation of the Gestapo?	Obergruppenführer, Reichsführer-SS, Gruppenführer, Wilhelm Frick, Heinrich Himmler	The leaders of the parent organisation of Gestapo are Obergruppenführer, Reichsführer-SS, Gruppenführer, Wilhelm Frick, Heinrich Himmler.
Name the largest city in the county where there is a Cy-Fair High School.	Houston	The largest city in the county with Cy-Fair High School is Houston.
Who all have been a president of educational institutes in Paud?	Nelson Mandela, Queen Noor of Jordan, Louis Mountbatten, 1st Earl Mountbatten of Burma, Charles, Prince of Wales	The presidents of the educational institutes located in Paud are Nelson Mandela, Queen Noor of Jordan, Louis Mountbatten, 1st Earl Mountbatten of Burma, Charles, Prince of Wales.
In what battles did president Park Chung-hee participate?	Vietnam War, Korean DMZ Conflict (1966–69), Blue House Raid, 209th Detachment, 2325th Group  Unit 684 Mutiny  1	The military conflicts commanded by Park Chung-hee are Vietnam War, Korean DMZ Conflict (1966–69), Blue House Raid, 209th Detachment, 2325th Group  Unit 684 Mutiny  1.
Is Egyptian Arabic belong to the Central Semitic Languages family?	Yes	Yes, Central Semitic languages is the family of Egyptian Arabic.
From how many different cities have people gone to the Illinois Fighting Illini men's basketball?	31	There are 31 birthplaces of the people whose college was the Illinois Fighting Illini men's basketball.
Where does the river end which starts in Mazabuka?	Zambezi	The mouth of the river which goes through Mazabuka is Zambezi.
Where was the current champion of Egyptian Open born ?	Chile, Santiago	The birthplace of the Egyptian Open winner is Chile, Santiago.
What is the mascot of the unit whose garrison is Canberra ?	Kangaroo	Kangaroo is the mascot of the military unit with garrison in Canberra.
Who was the prime minister under which the predecessor of Derick Heathcoat Amory served?	Winston Churchill, Harold Macmillan, Anthony Eden, Sir Alec Douglas-Home, Clement Attlee	The prime ministers of the predecessors of Derick Heathcoat-Amory, 1st Viscount Amory are Winston Churchill, Harold Macmillan, Anthony Eden, Sir Alec Douglas-Home, Clement Attlee.
Purnima Banerjee and Rishang Keishing are politicians of what party ?	Indian National Congress	The common party of Rishang Keishing and Purnima Banerjee is Indian National Congress.
Where can i find companies which were started in Toronto?	Approximately 1,100 branches, and 2,600 ATMs, 120, 6, 54, 1, 24, 2, 3, Concord, Ontario border|20pxborder|20px, Lagos, Nigeria border|15px, Accra, Russia border|15px, File:Flag of Ghana.svg, Ghana, Gatineau, Quebec border|15pxborder|20px	The locations of the companies whose foundation place is Toronto are Approximately 1,100 branches, and 2,600 ATMs, 120, 6, 54, 1, 24, 2, 3, Concord, Ontario border|20pxborder|20px, Lagos, Nigeria border|15px, Accra, Russia border|15px, File:Flag of Ghana.svg, Ghana, Gatineau, Quebec border|15pxborder|20px.
Which route junction of the Rhode Island Route 15 is the place of birth of the Michael Poulin?	Rhode Island	The route junction of the Rhode Island Route 15 and birthplace of Michael Poulin is Rhode Island.
Count the sports played at universities located in Urban Areas?	310	There are 310 sports of the universities whose campus is in Urban area.
List the origin of the weapons which were used in the American Revolutionary War.	France, Kingdom of Great Britain, Kingdom of France, Pennsylvania, United States, Enlightenment in Spain	The origins of the weapons used in American Revolutionary War are France, Kingdom of Great Britain, Kingdom of France, Pennsylvania, United States, Enlightenment in Spain.
Who is the author of Karakuri Dji Ultimo?	Hiroyuki Takei, Stan Lee	The authors of Karakuri Dji Ultimo are Hiroyuki Takei, Stan Lee.
Is Rain Over me in the planet pit album?	Yes	Yes, Planet Pit is the album of Rain Over Me.
How many people have voiced characters sculpted by Clamp?	32	There are 32 people who voiced characters created by Clamp.
Name the movies in which music is given by Laurie Johnson and edited by Anthony Harvey?	Dr. Strangelove	The film composed by Laurie Johnson and edited by Anthony Harvey is Dr. Strangelove.
Did Joe Namath did his highschool in Beaver Falls High School?	Yes	Yes, Beaver Falls High School is the high school of Joe Namath.
How many different genres of games are produced by Blizzard?	50	There are 50 genres of the video games developed by Blizzard Entertainment.
How many companies are located in a spanish speaking region?	4864	There are 4864 organisations located in places with spanish as language.
Is wizard rock inspired from Harry potter?	Yes	Yes, Harry Potter is the stylistic origin of Wizard rock.
What is the game platform of Google Cloud Connect?	Microsoft Office, Microsoft Office 2007, Microsoft Office 2010	The game platforms of Google Cloud Connect are Microsoft Office, Microsoft Office 2007, Microsoft Office 2010.
What appliance Sony made after the success of PlayStation 2?	PlayStation 3	The appliance whose maker is Sony and predecessor is PlayStation 2 is PlayStation 3.
Which political figures were awarded Screen Actors Guild Life Achievement Award?	Shirley Temple, Edward G. Robinson, Iggie Wolfington	The people awarded with Screen Actors Guild Life Achievement Award are Shirley Temple, Edward G. Robinson, Iggie Wolfington.
Who is the predecessor of Voere ?	West Germany, Koma	The predecessor of Voere are West Germany, Koma.
What team were the people drafted to, which are in the National Hockey League?	answer	The draft teams of the people who play for the National Hockey League are answer.
Who is the operator of FedExField?	Washington Redskins	Washington Redskins is the operator of FedExField .
Name the movies for which music was given by Geoffrey Burgon and distributed by Cinema International Corporation?	Monty Python's Life of Brian	Monty Python's Life of Brian is the film composed by Geoffrey Burgon and distributed by Cinema International Corporation.
What is the military rank of the commanders of Regiment of Mounted Grenadiers?	Peru	Peru is the military rank of the notable commanders of Regiment of Mounted Grenadiers.
Who is the prime minister of Michael Jeffery who is also the minister of Williuam Deane?	John Howard	John Howard is the prime minister of Michael Jeffery and William Deane.
For which other teams have the past Boston Bruins members played?	answer	The teams of the players whose former team was Boston Bruins are answer.
Which american football player's current team is Michigan Wolverines and former team was  Baltimore Ravens ?	Jim Harbaugh	Jim Harbaugh is the american football player whose current team is Michigan Wolverines and former team was Baltimore Ravens season 1998.
Count the tenants of MasterCard Centre?	11	There are 11 tenants  in MasterCard Centre.
Who is the political figure whose military branch is Colonial troops?	George Washington	The <official whose military branch is Colonial troops is George Washington.
Who was in the missions of Apollo 11 and Gemini 8?	Neil Armstrong	Neil Armstrong was in the missions are Apollo 11 and Gemini 8.
Who are the founders of Iskra ?	Dmitry Ilyich Ulyanov, Vladimir Lenin, Vera Zasulich, Pavel Axelrod, Alexander Potresov, Julius Martov, Georgi Plekhanov	The founders of Iskra are Dmitry Ilyich Ulyanov, Vladimir Lenin, Vera Zasulich, Pavel Axelrod, Alexander Potresov, Julius Martov, Georgi Plekhanov.
What is the mascot of the Royal Australian Air Force and Austin College?	Kangaroo	Kangaroo is the mascot of both Royal Australian Air Force and Austin College.
How many genres of games can I find on the commodore CDTV?	9	There are 9 genres of games whose platform is Commodore CDTV.
Who all have been a commander during the battles of Ohio?	John Hunt Morgan, Henry M. Judah, Ambrose Burnside, Tecumseh, George Croghan (soldier), Henry Procter (British Army officer)	The commanders of the military conflicts which took place in Ohio are John Hunt Morgan, Henry M. Judah, Ambrose Burnside, Tecumseh, George Croghan (soldier), Henry Procter (British Army officer).
Was Walt Disney the cinematographer of Mickey's Mellerdrammer?	Yes	Yes, Walt Disney was the cinematographer of Mickey's Mellerdrammer.
Which TV show is related to The Sarah Jane Adventures and theme music is composed by Ron Grainer?	Doctor Who	Doctor Who is the television show related to The Sarah Jane Adventures and its theme music composer is Ron Grainer.
Which training center of William Anthony has also alumni named Philip W Pillsbury?	Yale University	Yale University is the training center of William Anthony and college of Philip W. Pillsbury.
What countries used Solidus as currency?	Roman Empire, Kingdom of Vaspurakan, Odoacer  Regnum Italicum  1, Byzantine Empire, History of the Roman Empire	The countries whose currency is Solidus are Roman Empire, Kingdom of Vaspurakan, Odoacer  Regnum Italicum  1, Byzantine Empire, History of the Roman Empire.
Which garrison of East Indies Station is also the route end of Mumbai Vadodara Express ?	Mumbai	Mumbai is the route end of Mumbai Vadodara Expressway and garrison of East Indies Station.
Which city of the American Mediterranean Sea is also the nickname of Entronque de Herradura?	Miami	The city of the American Mediterranean Sea and nickname of Entronque de Herradura is Miami.
In which country is Sierra del Merendin?	Honduras, Guatemala	The nations of Sierra del Merendn are Honduras, Guatemala.
Terry Pratchett has written about how many topics?	291	There are 291 subjects of the books authored by Terry Pratchett.
Which office holder's resting place is William Henry Harrison Tomb State Memorial and has governor named Charles Willing Byrd?	William Henry Harrison	William Henry Harrison is the office holder whose resting place is William Henry Harrison Tomb State Memorial and governor is Charles Willing Byrd.
What is the political party of the person succeeded by A.K. Singh?	Indian National Congress	Indian National Congress is the party of the person who is the predecessor of A. K. Singh.
How many writers speak a language belonging to the Germanic kind of languages?	603	There are 603 writers speaking languages that belong to Germanic.
What is the denomination of S. H. Kapadia?	Zoroastrianism	The religion of S. H. Kapadia is Zoroastrianism.
How many TV shows' networks are headquarterd in NY?	1131	There are 1131 television shows broadcasted by networks with headquarters in New York.
Where was pina Records founded which has also the name of Geography of Puerto Rico?	Puerto Rico	Puerto Rico has the name of Geography of Puerto Rico and is the foundation place of Pina Records.
Who was the coach of marquette Golden Eagles men's basketball team 2012-13 season ?	Buzz Williams	Buzz Williams was the coach of 2012-13 Marquette Golden Eagles men's basketball team.
In which areas did the pupils of Sylvain Levi work?	History of China, Taoism, Chinese poetry, Buddhism	The areas pupils of Sylvain Levi worked are History of China, Taoism, Chinese poetry, Buddhism.
People in the royal Thai army follow which religion?	Theravada, Buddhism, Santi Asoke	The religions that people in the royal Thai army follow are Theravada, Buddhism, Santi Asoke.
Is Lieutenant general (United States) the superintendent of United States Air Force Academy?	Yes	Yes, Lieutenant general (United States) is the superintendent of United States Air Force Academy.
Was Duanne Allman known to play the Les Paul?	Yes	Yes, Gibson Les Paul is the instrument of Duane Allman.
to which university did both, the Stanford Cardinal and Gerald Reaven go?	Stanford University	Stanford University is the university of Stanford Cardinal and the institution of Gerald Reaven.
For which clubs do the players of Azam F.C. play for?	answer	The teams of the soccer players of Azam F.C. are answer.
Is David Cameron the prime minister of Nick Clegg?	Yes	Yes, David Cameron is the prime minister of Nick Clegg.
Give me the name of the organization hqed at  Chaeng Watthana Govt Complex?	Ministry of Information and Technology, Thailand, Election Commission	The name of the organization whose headquarter is Chaeng Watthana Government Complex are Ministry of Information and Technology, Thailand, Election Commission.
What are some employees of Uni of California, santa cruz?	Angela Davis, Sharon Daniel, Elizabeth Stephens	The people who works for University of California, Santa Cruz are Angela Davis, Sharon Daniel, Elizabeth Stephens.
The Prime minister who worked in the Khmer Issarak follows which religion?	Buddhism	The religion of the prime minister whose military branch is Khmer Issarak is Buddhism.
People from how many political parties exist in Maharashtra?	60	There are 60 parties of the people born in Maharashtra.
Where did Rheinmetall MG 60 originated ?	West Germany	West Germany is the origin of Rheinmetall MG 60 .
What is the nationality of the David King-Wood and John Steed ?	Great Britain	The nationality of the David King-Wood and John Steed is Great Britain.
In which country can I find the State Academic Opera and Ballet Theater and Baku Puppet Theatre?	Azerbaijan	Azerbaijan is the location country of both Azerbaijan State Academic Opera and Ballet Theater and Baku Puppet Theatre.
What are the hubs of PLUS Helicopter Services, a highway helicopter unit of PLUS Expressways?	Selangor, Sultan Abdul Aziz Shah Airport, Subang, Indonesia, Malaysia	The hubs of PLUS Expressways are Selangor, Sultan Abdul Aziz Shah Airport, Subang, Indonesia, Malaysia.
Which producer of Wizards and the aliens is also the notable work of russell T Davies ?	Doctor Who	The producer of the Wizards vs Aliens and notable work of Russell T Davies is Doctor Who.
Which country were the people from who became famous for the Ramon Mangsaysay Award?	India, Indonesia	The state of origin of the people who became famous for the Ramon Mangsaysay Award are India, Indonesia.
Name some shows similar to the one whose theme song is made by Murray Gold.	Doctor Who, Torchwood, K-9 (TV series), The Sarah Jane Adventures, Torchwood Declassified, Sarah Jane's Alien Files, Shameless (U.S. TV series)	The television shows related to those whose theme music is composed by Murray Gold are Doctor Who, Torchwood, K-9 (TV series), The Sarah Jane Adventures, Torchwood Declassified, Sarah Jane's Alien Files, Shameless (U.S. TV series).
What is the common party of Chandra Shekhar and Govinda?	Indian National Congress	Indian National Congress is the party of both Chandra Shekhar and Govinda.
Which soccer clubs are in the Liga Divisi Utama?	answer	The names of the soccer clubs which played in Liga Divisi Utama are answer.
How many people have been presenters for NBC shows?	158	There are 158 presenters for the television shows whose channel is NBC.
Who has manufactured vehicles designed originally by NASA?	General Motors, Boeing	The manufacturer of the automobile whose designer company is NASA are General Motors, Boeing.
Who is the founder of the trade union which affiliates with Amalgamated Association of Iron and Steel Workers?	1935-11-14, Pittsburgh	The founder of the trade union which affiliates with Amalgamated Association of Iron and Steel Workers is 1935-11-14, Pittsburgh.
Name the alma mater of Ernest de Saisset?	Santa Clara University	The alma mater of Ernest de Saisset is Santa Clara University.
Give the name of the managers of England national under-20 football team and England national under-21 football team?	Gareth Southgate, Peter Taylor (footballer, born 1953)	The managers of both England national under-20 football team and England national under-21 football team are Gareth Southgate, Peter Taylor (footballer, born 1953).
What are the professions of Frederick Frelinghuysen (general) ?	Lawyer, United States Senate, General officer	The occupations of Frederick Frelinghuysen (general) are Lawyer, United States Senate, General officer.
Where is the ground of the soccer club, which has Alan Kusov as a team member?	Moscow	The ground of the soccer club which has Alan Kusov as a player is Moscow.
What are some neighboring cities of Pregny Chambsy?	Geneva, Le Grand-Saconnex, Cologny, Bellevue, Switzerland	The settlements with Pregny-Chambsy as neighboring municipality are Geneva, Le Grand-Saconnex, Cologny, Bellevue, Switzerland.
How many people work at the FBI?	71	There are 71 people who work at the Federal Bureau of Investigation.
What are the musicals of the people died in California?	The Maid of Arran, Big River (musical), Redhead (musical), The Fig Leaves Are Falling, Lute Song (musical), Let It Ride (musical), Love, Janis (musical), Victoria (musical), Man on the Moon (musical), Rachael Lily Rosenbloom (And Don't You Ever Forget It), Plain and Fancy, Oh, Captain!, The Wizard of Oz (1987 musical), The Wizard of Oz (2011 musical)	The musicals made by people who died in California are The Maid of Arran, Big River (musical), Redhead (musical), The Fig Leaves Are Falling, Lute Song (musical), Let It Ride (musical), Love, Janis (musical), Victoria (musical), Man on the Moon (musical), Rachael Lily Rosenbloom (And Don't You Ever Forget It), Plain and Fancy, Oh, Captain!, The Wizard of Oz (1987 musical), The Wizard of Oz (2011 musical).
List all the notable work of the screen writer who produced Frasier ?	Cheers, Frasier, Mad Men, M*A*S*H (TV series)	The the notable work of the screen writer whose notable work is Frasier are Cheers, Frasier, Mad Men, M*A*S*H (TV series).
Where did 2016 Fort Lauderdale Strikers season take place?	Lockhart Stadium, Florida, Fort Lauderdale, Florida	The grounds of 2016 Fort Lauderdale Strikers season are Lockhart Stadium, Florida, Fort Lauderdale, Florida.
Name the television show whose subsequent work is Crusade and Composer is Stewart Copeland?	Babylon 5	Babylon 5 is the television show whose subsequent work is Crusade and Composer is Stewart Copeland.
Did Umkhonto we Sizwe had Nelson Mandela as a commander?	Yes	Yes, Nelson Mandela was the commander of Umkhonto we Sizwe.
What is the place of birth of the badminton player who is the bronze medalist of Badminton at the 2012 Summer Olympics Women's doubles ?	Moscow, Russia	The birthplace of the badminton player who is the bronze medalist of Badminton at the 2012 Summer Olympics Women's doubles is Moscow, Russia.
List common systems which are developed by Google Videos and written by Google Web Toolkit?	Google	The developer of Google Videos and author of Google Web Toolkit is Google.
Which famous horserace has seen both Fergie sutherland and the illustrious War of Attrition?	Cheltenham Gold Cup	The race where both War Of Attrition horse and Fergie Sutherland participated is Cheltenham Gold Cup.
Which government agency is run by Supachai Somcharoen?	Thailand, Election Commission	The name of the government agency whose leader is Supachai  Somcharoen is Thailand, Election Commission.
What are the television shows whose network's sister station is BBC Two?	answer	The television shows whose network's sister station is BBC Two are answer.
Name the saint whose major shrine is in Canada and was canonized by Pope Benedict XVI?	Kateri Tekakwitha	Kateri Tekakwitha is the saint whose major shrine is in Canada and was canonized by Pope Benedict XVI.
List some teammates of Ndonga Mianga?	answer	The members of teams with Ndonga Mianga as a teammate are answer.
To which settlement does Elliot Bay belong to?	Seattle	Seattle is the city of Elliott Bay .
Who owns a bridge in Boston?	Massachusetts, City of Boston	The owners of the bridges located in Boston are Massachusetts, City of Boston.
"To which company is the service ""Nintendo eShop"" associated with?"	Nintendo	Nintendo is the company associated which provides <Nintendo eShop> service.
List down all the bands to which the writers of 03 Bonnie & Clyde are associated?	Tupac Shakur, Bad Azz (rapper), Outlawz	The bands which the writers of '03 Bonnie & Clyde' are associated with are Tupac Shakur, Bad Azz (rapper), Outlawz.
Which famous political figures are relatives to George Madison?	James Madison, Thomas Madison, James Madison (bishop)	The famous politicians who are relatives of George Madison are James Madison, Thomas Madison, James Madison (bishop).
Namt the fields of Paul Demiville ?	Chinese poetry, Buddhism	The fields of Paul Demiville are Chinese poetry, Buddhism.
How many other wine region are there of the grapes whose one of the wine region is Michigan ?	8	There are 8 wine regions of the grapes whose one of the wine region is Michigan.
What awards did the cast members of Gods of Egypt win?	Academy Awards, Tony Award, Primetime Emmy Award, Screen Actors Guild Award, British Academy Film Awards, Golden Globe Award	The awards of the cast members of Gods of Egypt are Academy Awards, Tony Award, Primetime Emmy Award, Screen Actors Guild Award, British Academy Film Awards, Golden Globe Award.
What is the nationality of Newin Chidchob ?	Thailand	Thailand is the nationality of Newin Chidchob.
What is the common nationality of Funny Face a comedian and that of Georgina Theodora Wood?	Ghana	Ghana is the common nationality of the Funny Face comedian and Georgina Theodora Wood.
Comcast SportsNet is broadcasted in what area, which also has the Michigan Renaissance Festival?	Michigan	The location of the Michigan Renaissance Festival and broadcast area of the Comcast SportsNet Chicago is Michigan.
For how many movies have the music composer composed music, who have collaborated with Yes?	25	There are 25 films composed by artists who associated with Yes band.
What territory of Sino French War was the battle of Raoul Magrin-Vernerey fought?	Tonkin	Tonkin is the territory of Sino-French War and the battle of Raoul Magrin-Vernerey.
Count all the awards which were presented by something located in California.	30	There are 30 awards presented by organizations with headquarters in California.
Give me a count of the services by the company which provides Data center as the services ?	13	There are 13 services of the companies whose one service is Data center services.
In which other places are there companies which are in Ontario, too?	answer	The places of the organizations which are also located in Ontario are answer.
Is Robert Boyle a chemist?	Yes	Yes, Chemistry is the field of Robert Boyle.
Which successor of McDonnell Douglas was built by Delta 3 ?	Boeing	Boeing is built by Delta III and successor of McDonnell Douglas.
In which wars has Steven Palazzo fought?	Gulf War, Iraq War	The battles where Steven Palazzo fought are Gulf War, Iraq War.
Name the sharehoders of The National Herald?	Indian National Congress	Indian National Congress is the shareholder of The National Herald.
Name the key people of the non-profit organisations whose one of the key person is Lesley-Anne knight ?	Gro Harlem Brundtland, Kofi Annan, Nelson Mandela, Lesley-Anne Knight	The key people of the non-profit organisations whose key people is Lesley- Anne  Knight are Gro Harlem Brundtland, Kofi Annan, Nelson Mandela, Lesley-Anne Knight.
What religions are followed by members of the societies whose architectural influences can be seen on the Sanggar Agung ?	Theravada, Confucianism, Hinduism, Buddhism, Catholic Church, Kebatinan, Islam, Balinese Hinduism, Christianity, Taoism	The religions of the ethnic group  whose architectural influences can be seen on the Sanggar Agung are Theravada, Confucianism, Hinduism, Buddhism, Catholic Church, Kebatinan, Islam, Balinese Hinduism, Christianity, Taoism.
Which military battles are associated with Israel?	answer	The military conflicts located in Israel are answer.
Whose shrine is in aachen cathedral?	Charlemagne	The major shrine is Aachen Cathedral is of Charlemagne.
How many different products are there of the companies located in the US?	4602	There are 4602 products of the companies located in the United States.
Which television show's producer is Stephen E. Ambrose and written by Erik Jendresen?	Band of Brothers (miniseries)	Band of Brothers (miniseries) is the television show produced by Stephen E. Ambrose and written by Erik Jendresen.
Where are all the protected areas near Bend, Oregon?	Oregon, Lake County, Oregon, Deschutes County, Oregon, Lane County, Oregon, United States, Crook County, Oregon	The locations of the protected areas near Bend, Oregon city are Oregon, Lake County, Oregon, Deschutes County, Oregon, Lane County, Oregon, United States, Crook County, Oregon.
Does Faaa International Airport serve tahiti too?	Yes	Yes, Tahiti is the city served by Faaa International Airport.
How many services are there of the companies whose services is Web hosting service ?	88	There are 88 services of the companies whose one service is Web hosting service.
What is the river whose origin is North-Western Province, Zambia?	Zambezi	The river whose source region is North-Western Province, Zambia is Zambezi.
Name the team of Michael springer ?	Syracuse University	Syracuse University is the team of Michael Springer.
People who debuted from Houston Astros have played in which clubs?	answer	The teams of the people who debuted at the Houston Astros are answer.
Who is the leader of Hackweiser?	North America, p4ntera , BigHawk	The leader names of Hackweiser are North America, p4ntera , BigHawk.
List the people died in Hyderabad and are a member of political party?	Telugu Desam Party, Bharatiya Janata Party, Communist Party of India, Swatantra Party, Indian National Congress, Janata Dal, Dalit Panthers, All India Majlis-e-Ittehadul Muslimeen, Khaksars, All-India Muslim League, Indian Union Muslim League, Jai Telangana Party, Communist Party of India (Marxist), YSR Congress Party, Telangana Rashtra Samithi	The parties whose members died in Hyderabad are Telugu Desam Party, Bharatiya Janata Party, Communist Party of India, Swatantra Party, Indian National Congress, Janata Dal, Dalit Panthers, All India Majlis-e-Ittehadul Muslimeen, Khaksars, All-India Muslim League, Indian Union Muslim League, Jai Telangana Party, Communist Party of India (Marxist), YSR Congress Party, Telangana Rashtra Samithi.
Which movie produced by Michael Deeley was distributed by Warner Bros?	Blade Runner	The film distributed by Warner Bros. and produced by Michael Deeley is Blade Runner.
Which local authority of Buckhurst Hill County High School is the palce of burial of Elizabeth Rhuddlan ?	Essex	The place of burial of Elizabeth of Rhuddlan and local authority of Buckhurst Hill County High School is Essex.
Where did the film director of Kala Pani die?	Mumbai	The death place of the director of Kala Pani is Mumbai.
What is the mascot of military in Quezon city?	Quezon Memorial Circle, Lion, Philippine eagle	The mascots of the military units whose garrison is in Quezon City are Quezon Memorial Circle, Lion, Philippine eagle.
What is the nickname of the club managed by Piotr baron?	Sparta	Sparta is the nickname of the club whose manager is Piotr Baron.
What team did Joe Porter and Eddie Anderson play for?	Oakland Raiders	The team of Eddie Anderson and the former team of Joe Porter is Oakland Raiders.
Who started at the pole position in both 1997 canadian grand prix and the 94 spanish one?	Michael Schumacher	The driver in pole position in both 1997 Canadian Grand Prix and 1994 Spanish Grand Prix is Michael Schumacher.
Who all play for the Ivory Coast football team?	answer	The people of the Ivory Coast national football team are answer.
How many factions were fighting in the wars where Blue Jacket was a commander?	12	There are 12 combatants of the military conflicts whose commander was Blue Jacket.
What is the faith of the Ajith Perera and religious affiliation of the Neungin High School?	Buddhism	Buddhism is the religion of Ajith Perera and religious affiliation of the Neungin High School.
What is the debut team of ngel Escobar?	San Francisco Giants	San Francisco Giants is the debut team of ngel Escobar .
What did Steven T Mason's father die from?	Cholera	The cause of death of the person with child Stevens T. Mason is Cholera.
Name a few who live in a place where Indian English is an official language	answer	The people whose residence's official language is Indian English are answer.
Who all have written songs that were then recorded in the Criteria Studios?	answer	The writers of the musical works recorded in the Criteria Studios are answer.
How many people have played for the NBA?	685	There are 685 people who played for the National Basketball Association league.
In which sects was the aristocrat venerated, whose parent is Thelred the Unready?	Anglican Communion, Eastern Orthodox Church, Catholic Church	The sects where the royalty whose parent is Thelred the Unready was venerated are Anglican Communion, Eastern Orthodox Church, Catholic Church.
How many people are buried in Arlington National Cemetery?	1085	There are 1085 people who got buried in Arlington National Cemetery.
Which school did Robbie Diack attend?	Michaelhouse, Balgowan, KwaZulu-Natal, South Africa	The schools of Robbie Diack are Michaelhouse, Balgowan, KwaZulu-Natal, South Africa.
What are some other great things by the person who produced Queer as Folk?	12	There are 12 notable works from the person who produced the Queer as Folk.
Who created the stadiums who have been rented by the Boston Red Sox?	Populous (company), Pittsburgh, Louis D. Astorino, Fawley Bryant Architects, Bradenton, Florida	The architects of the stadiums rented by Boston Red Sox are Populous (company), Pittsburgh, Louis D. Astorino, Fawley Bryant Architects, Bradenton, Florida.
Who are some american football players whose high school is Oktoc, Mississippi?	Jerry Rice	Jerry Rice is an american football player whose high school is Oktoc, Mississippi.
Who was the prime minister of Victor Hope, 2nd Marquess of Linlithgow and also the editor of British Gazette ?	Winston Churchill	Winston Churchill is the prime minister of Victor Hope, 2nd Marquess of Linlithgow and the editor of the British Gazette.
In which municipalities does the NYC housing authority own buildings?	The Bronx	The Bronx is the municipality of the buildings owned by the New York City Housing Authority.
Who is the leader of the Kriminalpolizei and Ordnungspolizei?	Heinrich Himmler	Heinrich Himmler is the leader of both Kriminalpolizei and Ordnungspolizei.
Name some schools with a bison as their mascot?	Capital City Alternative School, Gallaudet University, Howard University, Shaker High School, Buffalo Gap High School, Buffalo High School (Minnesota), Buffalo High School (Buffalo, Missouri), Benton Central Junior-Senior High School, Great Falls High School, Carlisle School District (Arkansas), Buffalo Grove High School, Buffalo Independent School District, Carlisle High School (Arkansas)	The schools whose mascot is Bison are Capital City Alternative School, Gallaudet University, Howard University, Shaker High School, Buffalo Gap High School, Buffalo High School (Minnesota), Buffalo High School (Buffalo, Missouri), Benton Central Junior-Senior High School, Great Falls High School, Carlisle School District (Arkansas), Buffalo Grove High School, Buffalo Independent School District, Carlisle High School (Arkansas).
Under which presidents have politicians from the Continental army served?	Thomas Jefferson, George Washington, John Adams, James Madison, James Monroe, John Quincy Adams	The presidents of the people whose branch is Continental Army are Thomas Jefferson, George Washington, John Adams, James Madison, James Monroe, John Quincy Adams.
Was Don't Bring Me Down recorded in West Germany?	Yes	Yes, Don't Bring Me Down was recorded in West Germany.
Where has Garbage recorded its singles?	Los Angeles, Record Plant, Sony Music Studios, EastWest Studios, California, Madison, Wisconsin, Wisconsin, Smart Studios, United States	The places where the singles produced by Garbage band has been recorded are Los Angeles, Record Plant, Sony Music Studios, EastWest Studios, California, Madison, Wisconsin, Wisconsin, Smart Studios, United States.
Name the emplyer for which Manu cornet has worked and also written in Google Web Toolkit ?	Google	Google is the employer of Manu Cornet and author of Google Web Toolkit.
List the mammals whose taxonomy is Diprotodontia and phylum is Chordate?	answer	The mammals whose taxonomy is Diprotodontia and phylum is Chordateare answer.
What are the television shows which are in NTSC and 5.1 surround sound?	Doctor Who, Star Trek: Deep Space Nine, Star Trek: The Next Generation, Star Trek: Voyager	The television shows whose formats are NTSC and 5.1 surround sound are Doctor Who, Star Trek: Deep Space Nine, Star Trek: The Next Generation, Star Trek: Voyager.
Name some ww1 veterans?	answer	The people who fought in World War I battles are answer.
Which ground of 2016 Fort Lauderdale Strikers season is the place of birth of Kaitlyn Ashley ?	Florida, Fort Lauderdale, Florida	The ground of the 2016 Fort Lauderdale Strikers season and birthplace of Kaitlyn Ashley is Florida, Fort Lauderdale, Florida.
Where is the capital of Kelsey Creek located?	Seattle	The county seat of the administrative region of Kelsey Creek is Seattle.
Which are the cities on the river which also flows in Tukwila, Washington ?	Seattle, Tukwila, Washington, Kent, Washington, Auburn, Washington	The cities of the rivers with city Tukwila, Washington are Seattle, Tukwila, Washington, Kent, Washington, Auburn, Washington.
Where else did the graduates of the University of West Indies study?	University of Oxford, University of Cambridge, Howard University, Washington, D.C.	The alma maters of the people whose institution is the University of West Indies are University of Oxford, University of Cambridge, Howard University, Washington, D.C..
